Version,Metric,Value,Usecase
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,2.010373365724622,DOUYIN01W
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,81.22930543116252,DOUYIN01W
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,26.599180443964247,DOUYIN01W
2-PreCS1 - M619_r2(Orange),Adjusted,177.146417023281,DOUYIN01W
2-PreCS1 - M619_r2(Orange),CX,21.997414258104573,DOUYIN01W
2-PreCS1 - M619_r2(Orange),GFX,1.1947607028598795,DOUYIN01W
2-PreCS1 - M619_r2(Orange),Total CPU,68.29859974288588,DOUYIN01W
2-PreCS1 - M619_r2(Orange),Total Memory,25.512018526967573,DOUYIN01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,152.28319840253084,DOUYIN01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,19.960393963679284,DOUYIN01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,1.047609729352689,DOUYIN01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,52.948825705361045,DOUYIN01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,23.364852262147657,DOUYIN01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,152.28319840253084,DOUYIN01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,19.960393963679284,DOUYIN01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,1.047609729352689,DOUYIN01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,52.948825705361045,DOUYIN01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,23.364852262147657,DOUYIN01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,136.53966892384068,DOUYIN01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,18.99644520075063,DOUYIN01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,1.4259155190335013,DOUYIN01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,47.819348927533284,DOUYIN01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,19.497195350666594,DOUYIN01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Adjusted,141.699725466469,DOUYIN01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),CX,18.92696139283345,DOUYIN01W
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,1.4502369747710562,DOUYIN01W
